output,situation_premise,claim_hypothesis,correct_relationship,Grammar,Factuality,Coherency and Logic,Final Answer,Hallucination,Redundancy,Repetition,Commonsense,Arithmetic
"Step 1 - The current Archbishop, Leo Makkonen, was born in 1948.
Step 2 - Before his appointment as the archbishop in 2001, he was the Metropolitan of Helsinki from 1996, and Metropolitan of Oulu from 1980.
Step 3 - The current Bishop of Joensuu is Arseni, who took the position in 2005.
Step 4 - The Diocese of Karelia has 22,000 church members in 12 parishes.
Step 5 - The number of priests in the diocese is about 45, and churches and chapels total over 80.
Step 6 - The diocese also includes the only orthodox monasteries in Finland.
Step 7 - The Orthodox Church Museum of Finland also operates in Kuopio.
JUDGE: Step 5 - The number of priests in the diocese is about 45, and churches and chapels total over 80.","The seat of the Archbishop of Karelia and All Finland is in Kuopio. The archbishop is the head of the church and the diocese. He is assisted in the diocese by a suffragan bishop known as the Bishop of Joensuu. Despite his title, the bishop is also seated at Kuopio. The word ""Karelia"" in the archbishop's title only refers to the Finnish Karelia. The current Archbishop, Leo Makkonen, was born in 1948. Before his appointment as the archbishop in 2001, he was the Metropolitan of Helsinki from 1996, and Metropolitan of Oulu from 1980. The current Bishop of Joensuu is Arseni, who took the position in 2005. The Diocese of Karelia has 22,000 church members in 12 parishes. The number of priests in the diocese is about 45, and churches and chapels total over 80. The diocese also includes the only orthodox monasteries in Finland. The Orthodox Church Museum of Finland also operates in Kuopio. How many officials are in the Karelian Diocese?",45,yes,no,no,no,no,no,no,no,no,no
"Step 1 -  Maroney ran in for an 11-yard touchdown, Brady completed a 25-yard touchdown pass to Gabriel, Rudi Johnson ran two yards for a touchdown, Maroney scored from 25 yards out, Dillon scored from one yard out, and Brady completed a three-yard touchdown pass to tight end Daniel Graham.
Step 2 - Therefore, there were six touchdowns scored in the game.
Step 3 - The answer is Yes.
JUDGE: Step 1 -  Maroney ran in for an 11-yard touchdown, Brady completed a 25-yard touchdown pass to Gabriel, Rudi Johnson ran two yards for a touchdown, Maroney scored from 25 yards out, Dillon scored from one yard out, and Brady completed a three-yard touchdown pass to tight end Daniel Graham.","Hoping to preserve their division lead, the Patriots flew to Paul Brown Stadium for a Week 4 showdown with the Cincinnati Bengals.  In the first quarter, the Bengals opened the scoring with two Shayne Graham field goals.  The Patriots would get on the board in the second quarter, as Maroney ran in for an 11-yard touchdown and Brady completed a 25-yard touchdown pass to Gabriel.  Down by eight in the third quarter, running back Rudi Johnson ran two yards for a touchdown, the final Cincinnati points of the game. The Patriots took their one-point lead and turned it into a 25-point win, starting with a Maroney 25-yard touchdown run.  In the fourth quarter, Gostkowski kicked a 24-yard field goal, Dillon scored from one yard out on a run, and Brady completed a three-yard touchdown pass to tight end Daniel Graham.  With their victory, the Patriots advanced to 3-1 and maintained their lead in the AFC East. How many touchdowns were scored in the game?",6,yes,no,no,no,no,no,no,no,no,no
"Step 1 -  7,685 (10.3%) had a female householder with no husband present, 3,804 (5.1%) had a male householder with no wife present.
Step 2 - There were 4,386 (5.9%) POSSLQ, and 504 (0.7%) same-sex partnerships.
Step 3 - 18,489 households (24.9%) were made up of individuals and 6,527 (8.8%) had someone living alone who was 65 years of age or older.
Step 4 - The answer is 89.7.
JUDGE: Step 3 - 18,489 households (24.9%) were made up of individuals and 6,527 (8.8%) had someone living alone who was 65 years of age or older.","There were 74,285 households, out of which 21,922 (29.5%) had children under the age of 18 living in them, 36,729 (49.4%) were marriage living together, 7,685 (10.3%) had a female householder with no husband present, 3,804 (5.1%) had a male householder with no wife present. There were 4,386 (5.9%) POSSLQ, and 504 (0.7%) same-sex partnerships. 18,489 households (24.9%) were made up of individuals and 6,527 (8.8%) had someone living alone who was 65 years of age or older. The average household size was 2.55. There were 48,218 family (U.S. Census) (64.9% of all households); the average family size was 3.07. How many percent are not  female householder with no husband present?",89.7,yes,no,no,no,no,no,yes,no,no,no
"Step 1 -  The Kingdom of Hungary existed from 1920 to 1946, so it existed for 26 years.
Step 2 - The answer is Yes.
JUDGE: Step 2 - The answer is Yes.","The Kingdom of Hungary , also known as the Regency, existed from 1920 to 1946 as a de factonote 1 country under Regent Miklós Horthy. Horthy officially represented the Hungarian monarchy of Charles IV, Apostolic King of Hungary. Attempts by Charles IV to return to the throne were prevented by threats of war from neighbouring countries and by the lack of support from Horthy. The country has been regarded by some historians to have been a client state of Germany from 1938 to 1944. The Kingdom of Hungary under Horthy was an Axis Power during most of World War II.  In 1944, after Horthy's government negotiated secretly with the Allies, and considered to leave the war as well, Hungary was occupied by Nazi Germany and Horthy was deposed. The Arrow Cross Party's leader Ferenc Szálasi established a new Nazi-backed government, effectively turning Hungary into a German-occupied puppet state. After World War II, Hungary fell within the Soviet Union's sphere of interest. In 1946, the Second Hungarian Republic was established under Soviet influence. In 1949, the communist Hungarian People's Republic was founded. How many years did the Kingdom of Hungary exist?",26,yes,no,no,no,no,no,no,no,no,no
"Step 1 -  Casimir IV Jagiellon was born in 1426 and received approval as a hereditary hospodar in 1440.
Step 2 - That means that 14 years passed between his birth and his approval as hereditary hospodar.
Step 3 - The answer is Yes.
JUDGE: Step 1 -  Casimir IV Jagiellon was born in 1426 and received approval as a hereditary hospodar in 1440.","Švitrigaila was losing his influence in the Slavic principalities and could no longer resist Poland and Sigismund. On 4 September 1437 he attempted to reconcile with Poland: he would rule the lands that still backed him , and after his death these territories would pass to the King of Poland. However, under strong protest from Sigismund, the Polish Senate declined to ratify the treaty . In 1438 Švitrigaila withdrew to Moldavia. The reign of Sigismund Kęstutaitis was brief — he was assassinated in 1440. Švitrigaila returned from exile in 1442 and ruled Lutsk until his death a decade later. Jogaila's son Casimir IV Jagiellon, born in 1426, received approval as a hereditary hospodar from Lithuania's ruling families in 1440. This event is seen by the historians Jerzy Lukowski and Hubert Zawadzki as marking the end of the succession dispute. How many years passed between Casimir IV Jagiellon's birth and his approval as hereditary hospodar?",14,yes,no,no,no,no,no,no,no,no,no
"Step 1 -  Warner had 18 pass attempts in the game.
Step 2 - The answer is Yes.
JUDGE: Step 2 - The answer is Yes.","Hoping to rebound from their home loss to the Vikings, the Cardinals flew to Gillette Stadium for a Week 16 interconference duel with the New England Patriots. Arizona would trail early in the first quarter as Patriots running back LaMont Jordan got a one-yard and a three-yard touchdown run. The Cardinals' east coast struggles continued in the second quarter as quarterback Matt Cassel completed a 15-yard touchdown pass to running back Kevin Faulk and an 11-yard touchdown pass to wide receiver Wes Welker, followed by kicker Stephen Gostkowski's 38-yard field goal. In the third quarter, Arizona's deficit continued to climb as Cassel completed a 76-yard touchdown pass to wide receiver Randy Moss, followed by Gostkowski's 35- and 24-yard field goal. In the fourth quarter, New England concluded its domination with Gostkowski's 30-yard field goal. The Cardinals would then get a meaningless touchdown as quarterback Matt Leinart completed a 78-yard touchdown pass to wide receiver Larry Fitzgerald. Original starting quarterback Kurt Warner (6/18 for 30 yards) was pulled in the third quarter via coach's decision. How many pass attempts did Warner have?",18,yes,no,no,no,no,no,no,no,no,no
"Step 1 -  All remaining sports are featured in the Asian Games.
Step 2 - The answer is 10.
JUDGE: Step 1 -  All remaining sports are featured in the Asian Games.","The first 30 sports were announced by the Singapore National Olympic Council on 10 December 2013 on the sidelines of the 27th SEA Games in Myanmar. It announced then that there was room for as many as eight more sports. On 29 April 2014, the final six sports, namely boxing, equestrian, floorball, petanque, rowing and volleyball were added to the programme. Floorball will feature in the event for the first time after being a demonstration sport in the 2013 edition. In its selection of events, the organising committee indicated their desire to set a model for subsequent games in trimming the number of ""traditional"" sports to refocus on the SEAG's initial intent to increase the level of sporting excellence in key sports. Hence, despite room for up to eight traditional sports, only two, floorball and netball, were included in the programme. Amongst the other 34 sports, 24 are Olympic sports and all remaining sports are featured in the Asian Games. The 2015 Southeast Asian Games programme was featured 402 events in 36 sports and disciplines. The number of events in each discipline is noted in parentheses. How many of the sports in the 2015 Southeast Asian Games were featured in the Asian Games?",10,yes,no,no,no,no,no,no,no,no,no
"Step 1 -  There are 100 females for every 83.5 males, so ther are 16.5 more females than males per 100 people 18 and over.
Step 2 - The answer is Yes.
JUDGE: Step 2 - The answer is Yes.","In the city, the age distribution of the population shows 21.8% under the age of 18, 13.1% from 18 to 24, 31.7% from 25 to 44, 20.1% from 45 to 64, and 13.2% who were 65 years of age or older. The median age was 34 years. For every 100 females, there were 87.1 males. For every 100 females age 18 and over, there were 83.5 males. How many more females are there than males per 100 people age 18 and over in the city?",16.5,yes,no,no,no,no,no,no,no,no,no
"Step 1 - It took the Singapore National Olympic Council five months to announce all the sports included in the 2015 SEA Games.
Step 2 - The answer is Yes.
JUDGE: Step 1 - It took the Singapore National Olympic Council five months to announce all the sports included in the 2015 SEA Games.","The first 30 sports were announced by the Singapore National Olympic Council on 10 December 2013 on the sidelines of the 27th SEA Games in Myanmar. It announced then that there was room for as many as eight more sports. On 29 April 2014, the final six sports, namely boxing, equestrian, floorball, petanque, rowing and volleyball were added to the programme. Floorball will feature in the event for the first time after being a demonstration sport in the 2013 edition. In its selection of events, the organising committee indicated their desire to set a model for subsequent games in trimming the number of ""traditional"" sports to refocus on the SEAG's initial intent to increase the level of sporting excellence in key sports. Hence, despite room for up to eight traditional sports, only two, floorball and netball, were included in the programme. Amongst the other 34 sports, 24 are Olympic sports and all remaining sports are featured in the Asian Games. The 2015 Southeast Asian Games programme was featured 402 events in 36 sports and disciplines. The number of events in each discipline is noted in parentheses. How many months did it take for all the sports included in the 2015 SEA Games to be announced?",5,yes,no,no,no,no,no,no,no,no,no
"Step 1 - Killigrew's first wife died in 1583 and he remarried in 1590, so it was 7 years.
Step 2 - The answer is Yes.
JUDGE: Step 2 - The answer is Yes.","Killigrew lived in Hanworth in Middlesex and Falmouth in Cornwall. On 4 November 1566 Killigrew married in the church of St Peter Le Poer, London, Catherine, fourth daughter of Sir Anthony Cooke. He thus became Cecil's brother-in-law. His wife died in 1583, and on 7 November 1590 he was married in the same church to Jaél de Peigne, a French Hugenot. She was naturalised in June 1601. After Henry's death she remarried on 19 April 1617 George Downham, Bishop of Derry, and died c.1632. By his first wife, Killigrew had four daughters: How many years after Killigrew's first wife died was it before he remarried?",7,yes,no,no,no,no,no,no,no,no,no
